Datum,Kurs
2023-08-31,290.00
2023-09-01,290.00
2023-09-04,290.00
2023-09-05,290.00
2023-09-06,290.00
2023-09-07,290.00
2023-09-08,290.00
2023-09-11,290.00
2023-09-12,290.00
2023-09-13,290.00
2023-09-14,294.40
2023-09-15,296.00
2023-09-18,295.99
2023-09-19,296.00
2023-09-20,294.29
2023-09-21,289.21
2023-09-22,282.78
2023-09-25,282.64
2023-09-26,278.83
2023-09-27,278.83
2023-09-28,284.87
2023-09-29,286.22
2023-10-02,281.12
2023-10-03,284.60
2023-10-04,283.70
2023-10-05,277.73
2023-10-06,283.00
2023-10-09,283.11
2023-10-10,289.71
2023-10-11,284.46
2023-10-12,284.60
2023-10-13,290.13
2023-10-16,292.18
2023-10-17,289.14
2023-10-18,288.23
2023-10-19,285.39
2023-10-20,280.22
2023-10-23,277.06
2023-10-24,277.04
2023-10-25,273.82
2023-10-26,272.42
2023-10-27,270.50
2023-10-30,272.52
2023-10-31,276.53
2023-11-01,278.70
2023-11-02,279.76
2023-11-03,284.30
2023-11-06,280.84
2023-11-07,285.00
2023-11-08,285.00
2023-11-09,285.00
2023-11-10,285.00
2023-11-13,285.00
2023-11-14,290.00
2023-11-15,287.00
2023-11-16,290.00
2023-11-17,287.00
2023-11-20,287.00
2023-11-21,287.00
2023-11-22,290.00
2023-11-23,290.00
2023-11-24,288.00
2023-11-27,290.00
2023-11-28,290.00
2023-11-29,290.00
2023-11-30,290.00
2023-12-01,290.00
2023-12-04,290.00
2023-12-05,290.00
2023-12-06,290.00
2023-12-07,290.00
2023-12-08,294.00
2023-12-11,294.00
2023-12-12,295.00
2023-12-13,294.00
2023-12-14,294.00
2023-12-15,295.00
2023-12-18,295.00
2023-12-19,295.00
2023-12-20,299.45
2023-12-21,295.00
2023-12-22,295.00
2023-12-27,295.00
2023-12-28,294.98
2023-12-29,294.98
2024-01-02,299.45
2024-01-03,295.25
2024-01-04,294.02
2024-01-05,294.00
2024-01-08,294.00
2024-01-09,299.45
2024-01-10,300.00
2024-01-11,300.00
2024-01-12,299.45
2024-01-15,300.00
2024-01-16,300.00
2024-01-17,302.00
2024-01-18,299.45
2024-01-19,305.00
2024-01-22,305.00
2024-01-23,305.00
2024-01-24,305.00
2024-01-25,313.79
2024-01-26,312.00
2024-01-29,311.45
2024-01-30,308.00
2024-01-31,311.00
2024-02-01,308.15
2024-02-02,311.00
2024-02-05,311.00
2024-02-06,312.56
2024-02-07,318.59
2024-02-08,319.73
2024-02-09,321.28
2024-02-12,315.59
2024-02-13,313.54
2024-02-14,314.63
2024-02-15,320.00
2024-02-16,320.00
2024-02-19,320.00
2024-02-20,311.96
2024-02-21,313.50
2024-02-22,313.55
2024-02-23,319.00
2024-02-26,313.55
2024-02-27,313.55
2024-02-28,315.00
2024-02-29,315.00
2024-03-01,318.00
2024-03-04,322.89
2024-03-05,318.51
2024-03-06,312.03
2024-03-07,320.00
2024-03-08,320.00
2024-03-11,320.00
2024-03-12,320.00
2024-03-13,320.00
2024-03-14,320.00
2024-03-15,320.00
2024-03-18,320.00
2024-03-19,325.36
2024-03-20,324.14
2024-03-21,328.00
2024-03-22,328.00
2024-03-25,326.96
2024-03-26,328.00
2024-03-27,327.21
2024-03-28,328.00
2024-04-02,330.00
2024-04-03,330.00
2024-04-04,320.00
2024-04-05,320.00
2024-04-08,320.00
2024-04-09,320.00
2024-04-10,325.20
2024-04-11,330.00
2024-04-12,330.00
2024-04-15,330.00
2024-04-16,320.00
2024-04-17,320.00
2024-04-18,320.00
2024-04-19,321.65
2024-04-22,322.50
2024-04-23,325.93
2024-04-24,326.00
2024-04-25,325.00
2024-04-26,325.00
2024-04-29,330.00
2024-04-30,330.00
2024-05-02,327.70
2024-05-03,329.50
2024-05-06,331.00
2024-05-07,331.00
2024-05-08,331.00
2024-05-09,330.00
2024-05-10,331.00
2024-05-13,332.00
2024-05-14,335.02
2024-05-15,329.01
2024-05-16,332.00
2024-05-17,333.00
2024-05-20,333.00
2024-05-21,333.00
2024-05-22,338.70
2024-05-23,329.61
2024-05-24,335.00
2024-05-27,335.00
2024-05-28,335.00
2024-05-29,331.00
2024-05-30,331.00
2024-05-31,331.00
2024-06-03,332.00
2024-06-04,334.93
2024-06-05,336.05
2024-06-06,334.41
2024-06-07,336.46
2024-06-10,346.45
2024-06-11,339.52
2024-06-12,348.34
2024-06-13,346.54
2024-06-14,342.25
2024-06-17,342.67
2024-06-18,344.77
2024-06-19,345.00
2024-06-20,345.00
2024-06-21,345.00
2024-06-24,345.00
2024-06-25,346.00
2024-06-26,346.00
2024-06-27,346.00
2024-06-28,346.00
2024-07-01,346.00
2024-07-02,347.00
2024-07-03,353.50
2024-07-04,353.50
2024-07-05,353.50
2024-07-08,360.08
2024-07-09,361.81
2024-07-10,356.00
2024-07-11,356.00
2024-07-12,356.00
2024-07-15,356.00
2024-07-16,356.50
2024-07-17,356.50
2024-07-18,356.64
2024-07-19,350.00
2024-07-22,350.00
2024-07-23,350.00
2024-07-24,350.00
2024-07-25,346.00
2024-07-26,346.00
2024-07-29,346.00
2024-07-30,350.00
2024-07-31,350.00
2024-08-01,346.00
2024-08-02,343.53
2024-08-05,327.73
2024-08-06,327.61
2024-08-07,331.06
2024-08-08,328.00
2024-08-09,328.00
2024-08-12,335.00
2024-08-13,335.00
2024-08-14,335.00
2024-08-15,335.00
2024-08-16,347.88
2024-08-19,347.83
2024-08-20,348.11
2024-08-21,347.05
2024-08-22,347.36
2024-08-23,346.15
2024-08-26,337.22
2024-08-27,346.16
2024-08-28,345.87
2024-08-29,338.21
2024-08-30,344.00
2024-09-02,340.00
2024-09-03,340.00
2024-09-04,341.41
2024-09-05,330.00
2024-09-06,330.00
2024-09-09,330.00
2024-09-10,331.00
2024-09-11,331.00
2024-09-12,345.00
2024-09-13,345.00
2024-09-16,335.91
2024-09-17,335.89
2024-09-18,340.00
2024-09-19,348.95
2024-09-20,345.00
2024-09-23,345.00
2024-09-24,345.00
2024-09-25,345.00
2024-09-26,354.00
2024-09-27,354.00
2024-09-30,354.00
2024-10-01,362.42
2024-10-02,365.00
2024-10-03,365.00
